City,Price,Beds,Baths,Size,Address,Acres,Description,Agent,Latitude,Longitude,Source
Cary,$21,3,2.5,"2,180","101 Chatsworth St, Cary, NC 27513",0.44,"New price reduction has this home below the tax value, and $21 less per square foot than comparable sales in the neighborhood over the last six months! This is an incredible value hard to find in this location, one of Cary's most desirable neighborhoods. Check out this blank canvas ready for you!",Doug Yopp The Oceanaire Realty,35.771022,-78.827216,Nominatim
Cary,"$545,000",3,2.5,"2,273","118 Trafalgar Ln, Cary, NC 27513",N/A,"Wonderful home on corner lot in Oxxford Hunt/Cary with a deck, formal living & dining spaces, new flooring, ceiling fans and more! Kitchen features granite counters, tile backsplash and SS appliances as well as pantry and breakfast room w/ bay window & new laminate flooring as well as fresh",Chuck Hinton RE/MAX United,35.772812,-78.821767,Nominatim
Cary,"$714,284",N/A,N/A,N/A,"6800 Franklin Heights Rd, Cary, NC 27518",0.56,"Cary's picturesque landscape embracing the trees and rolling hills just got even better and now you can claim part of it as your own! This RARE, CORNER lot features an incredible Pond view with multiple potential options to build. Please review the plat map and documents carefully. This lot is","Amie Simmons eXp Realty, LLC - C",35.742472,-78.752825,Nominatim
Cary,"$515,000",3,2.5,"2,042","113 Smokemont Dr, Cary, NC 27513",N/A,"Step into a spacious living room filled with natural light featuring vaulted ceilings that enhance the home's open feel. The living room seamlessly flows into a formal dining room, perfect for entertaining guests. Brazilian hardwood floors and updated fixtures add elegance to the space. The",Diane Donnelly RE/MAX United,35.763277,-78.829688,Nominatim
Cary,"$382,000",3,2,"1,554","1415 Suterland Rd, Cary, NC 27511",0.3,"Welcome to this charming home, complete with sought-after features that promise comfort and elegance. Relax in the cozy living room, where a magnificent fireplace offers warmth and ambiance on chilly nights. The open, airy spaces feature an inviting neutral color palette, perfect for any style of",Thomas Shoupe Opendoor Brokerage LLC,35.75693771890789,-78.81736298356596,Nominatim
Cary,"$1,496,429",N/A,N/A,N/A,"134 Forest Green Dr, Cary, NC 27511",0.28,HARD to FIND one of a KIND Level Lot close to Downtown Cary! All cleared and ready for you to build your DREAM home! Bring your Builder! Don't miss your chance to get in this fast growing area! Cary Schools! This lot is just over 4 blocks from Downtown Cary's new Regional Library and the fun,"Amie Simmons eXp Realty, LLC - C",35.779702919678684,-78.77639662900529,Nominatim
Cary,"$400,000",Rare,2,"1,340","1405 Princess Anne Rd, Raleigh, NC 27607",0.45,"Rare opportunity to find a great price point in a great location, AND in a great neighborhood! This 3 bed, 2 bath ranch home with open living spaces is a chance to live near everything and afford to enjoy it all! Kitchen, with gas range, is open to living room and dining area. Back deck for",Heidi Grable Berkshire Hathaway HomeService,35.7979284,-78.7640251,Google
Cary,"$520,000",Welcome,2,"1,332","116 Kudrow Ln, Morrisville, NC 27560",N/A,"Welcome to easy living at 116 Kudrow, a three-bedroom home nestled in the heart of Morrisville, NC! This delightful ranch-style home beautifully combines comfort and style, offering convenient access to the greenway that leads to Lake Crabtree and Umstead Park, as well as Morrisville Park, which",Laura Garcia Movil Realty,35.81857882388808,-78.83542880555981,Nominatim
Apex,"$490,000",3,2,"1,805","1704 Chestnut St, Apex, NC 27502",0.39,"a must-see property that's been thoughtfully updated from top to bottom! This charming home boasts two brand-new central heat and air conditioning units, both installed within the past year, and updated electrical with a dedicated outlet for electric vehicle charging. Additional upgrades include a","Justin Pace The NC Real Estate Firm, LLC",35.74343587755102,-78.82871497959184,Nominatim
Apex,"$405,000",3,2.5,"1,586","4905 Matlock Ct, Apex, NC 27539",N/A,"Enjoy the rocking chair front porch of this well maintained home on almost a quarter acre of beautifully landscaped yard in a desirable, unincorporated area of Wake County. Fantastic schools and easy accessibility to Holly Springs, Cary, RTP and Fuquay Varina. Close to 540. House has an above",Mary Carreno Howard Perry & Walston Realtor,35.643797,-78.7379302,Google
Apex,"$165,789",Bring,N/A,N/A,"87 Sexton Rd, Apex, NC 27523",1.9,"Bring your fishing poles, your chickens, or boat and RV! Build a custom 4-5 bedroom home on this beautiful stretch of land near Jordan Lake. Enjoy nearby fishing, hunting and outdoor activities with the flexibility that comes with having no HOA. Situated next to Army Corp of Engineers land,",Summer Provancha Compass -- Raleigh,35.7665165,-79.00774489999999,Google
Apex,"$539,900",4,2.5,"1,927","4205 Winding Oak Way, Apex, NC 27539",0.25,"Beautiful two-story home on corner lot in Apex. Custom screened in porch overlooks private wooded area. Fantastic, updated kitchen and all new LVP flooring throughout. New custom Anderson low E windows throughout home. HVAC is less than 3 years old. Home also has complete automatic whole house",Charles Johnson Cambridge & Assoc. R.E. Group,35.69318589430351,-78.77962045736464,Nominatim
Apex,"$550,000",Back,2.5,"3,167","5008 Sunset Lake Rd, Apex, NC 27539",1,"Back on Market due to no fault to property or seller. AMAZING LOCATION, custom brick ranch sprawling over almost 3200 sqft, 3 large bedrooms/2.5 baths, huge bonus room, sunroom with jacuzzi, deck, with an additional back lot housing a detached oversized garage, and totaling to a full 1 acre.",Elena Stoyanova Engel & Volkers Raleigh,35.6804484,-78.8276201,Nominatim
Apex,"$300,000",N/A,N/A,N/A,"2428 Old Us 1 Hwy, Apex, NC 27502",1,"1 acre lot with home, workshop/garage and storage building. Older mobile home appears to be from the early 80s, owner considers it uninhabitable. Do not try to enter without permission. NO LOCKBOX. Existing well and septic. No sewer available, no public water connection at this time. Area to",Seth Roberts Berkshire Hathaway HomeService,35.7154386,-78.8749745,Nominatim
Apex,"$430,000",4,2.5,"1,755","309 Ridge Lake Dr, Apex, NC 27539",N/A,"Hard to Find Under $430,000 Single Family Home in Apex! This Beautiful 4 Bedroom / 2 .5 Bath / 2 Car Garage Home is located in Sunset Hills Pool Community! Perfectly located close to major highways and shopping. New carpeting throughout, New Luxury Vinyl Planking flooring in upstairs baths,",Terry McDonald Flat Fee Realty LLC,35.68212562354456,-78.8293548195157,Nominatim
Apex,"$203,540",N/A,N/A,N/A,"8616 Lawdraker Rd, Apex, NC 27539",1.13,This 1.13 acre cleared and serene lot is a unique property in Wake County. Two producing fig trees and one pecan tree grace the property with seasonal fruit and nuts. A house on this land would require a septic system. Electric and water are available on site. The attached septic and soil report,Jonathan Minerick HomeCoin.com,35.6781083,-78.7675902,Google
Apex,"$535,000",4,2.5,"1,909","508 Samara St, Apex, NC 27502",0.26,"Welcome to your serene haven, where a plethora of stunning features awaits. the warmth of the fireplace, serving as a cozy centerpiece in the living area. Delicate hues from the neutral color paint scheme spread over the walls, setting a calm yet sophisticated tone throughout. In the spacious",Thomas Shoupe Opendoor Brokerage LLC,35.731171067443405,-78.83108381564777,Nominatim
Apex,"$525,000",3,2.5,"2,359","105 Lazy Days Ct, Apex, NC 27502",N/A,"Experience unparalleled comfort and convenience in this exquisite, updated home in Apex's prime location. The sleek, modern kitchen boasts ample space for seamless entertaining. Adjacent living areas feature French doors leading to a versatile room for work or play, with additional storage for",Nina Golden Nina Golden Realty Group LLC,35.73397065306122,-78.9011905510204,Nominatim
Apex,"$420,000",Here,1.5,"1,025","1312 Goodwin Rd, Apex, NC 27523",0.5,Here is a rare single-story detached house in an excellent location on nearly half an acre of land. The newly renovated kitchen features brand-new cabinets and stainless steel appliances. The living room boasts high ceilings. This home offers 2 bedrooms and 1.5 bathrooms with spacious walk-in,Cathy (Yanping) Kimball HHome Realty LLC,35.750105959317885,-78.92465197155038,Nominatim
Apex,"$390,000",N/A,N/A,N/A,"4724 Sunset Lake Rd, Apex, NC 27539",0.53,"Two contiguous parcels totaling 3.97+/- acres are available on Sunset Lake Road and Edwards Drive in Holly Springs. Parcels to be sold together for $390,000. Zoned rural residential (RR), the Town's Mixed Residential (MR) Neighborhood Future Land Use designation (see Town's Comprehensive Plan)",Jeff Hunter Julie Wright Realty Group LLC,35.6804484,-78.8276201,Nominatim
Apex,"$511,364",N/A,N/A,N/A,"4900 Sunset Lake Rd, Apex, NC 27539",0.88,This is a .88-acre land tract on Sunset Lake Road just north of the intersection of I-540 as shown on the Northeast Gateway maps.,John Hawkins Fonville Morisey/Stonehenge Sa,35.6804484,-78.8276201,Nominatim
Apex,"$515,000",3,2.5,"2,042","113 Smokemont Dr, Cary, NC 27513",N/A,"Step into a spacious living room filled with natural light featuring vaulted ceilings that enhance the home's open feel. The living room seamlessly flows into a formal dining room, perfect for entertaining guests. Brazilian hardwood floors and updated fixtures add elegance to the space. The",Diane Donnelly RE/MAX United,35.763277,-78.829688,Nominatim
Durham,"$375,000",Welcome,1,"1,015","901 Medina St, Durham, NC 27707",0.29,"Welcome to 901 Medina Street, a beautifully fully renovated ranch home located in the heart of Durham, NC. This charming 3-bedroom, 1-bathroom home offers an inviting and open living space, perfect for both relaxation and entertaining. The recently renovated kitchen features sleek quartz Dale Suggs KW Realty Platinum",(984) 646-5253,35.9575169,-78.9008583,Nominatim
Durham,"$384,900",3,Beautiful,"1,689","725 Obsidian Way, Durham, NC 27703",N/A,"Beautiful renovated home with tons of upgrades and easy access to downtown Durham! Updated kitchen with granite countertops, tile backsplash and stainless steel appliances. Remodeled bathrooms with new tile floors and custom dual vanities. New engineered wood floors throughout the main floor and Nicholas Yarrington Grow Local Realty, LLC",(984) 370-4531,35.9916889,-78.8258388,Nominatim
Durham,"$440,000",4,2.5,"1,909","1212 Little Acres Dr, Durham, NC 27713",0.71,"Welcome to 1212 Little Acres Drive, located at the end of a quaint cul-de-sac in booming SW Durham! Enjoy .71 landscaped acres including mature trees, overlooking protected wetlands and a stream, and plenty of space for a garden, in addition to large front and back yards, all on a quiet Michele Marinelli Fonville Morisey Realty",(855) 476-0867,35.8782083,-78.9132639,Nominatim
Durham,"$357,143",N/A,N/A,N/A,"4813 Fayetteville Rd, Durham, NC 27713",1.26,1.26 acre lot minutes from Southpoint. Can be sold with 4817 Fayetteville which is directly next door (additional .48 acres). Currently zoned R-20 which allows for up to 2 homes to be built (with recombination). City water/sewer and electric on site. Buyer can create an additional ROW from the rear Keegan Reynolds Next Stage Realty,(984) 341-0283,35.9343897,-78.9104944,Nominatim
Durham,"$520,833",N/A,N/A,N/A,"4817 Fayetteville Rd, Durham, NC 27713",0.48,.48 acre lot minutes from Southpoint. Can be sold with 4813 Fayetteville which is directly next door (additional 1.26 acres). Currently zoned R-20 which allows for up to 1 home to be built. City water/sewer and electric on site. Buyer can create an additional ROW from the rear on Beebe Dr giving Keegan Reynolds Next Stage Realty,(984) 341-2641,35.9342346,-78.9110829,Nominatim
Durham,"$284,500",Charming,1,930,"2222 N Oak Ridge Blvd, Durham, NC 27707",0.28,"Charming Cottage in Archdale with Rocking Chair front porch and upgrades galore. Bright open floorplan with great room open to kitchen featuring shaker cabinets, granite counters, tile backsplash and SS appliances. Wide plank LVP through main mining area and PLUSH carpet in bedrooms. New HVAC, Stephanie Anson Northside Realty Inc.",(984) 213-5712,35.957676,-78.9239446,Nominatim
Durham,"$330,000",3,2,"8,276","4314 Chimney Stone Rd, Durham, NC 27704",N/A,"Discover your dream home in the serene and sought-after Glennstone subdivision! Fresh paint! Enjoy this lovely living space, perfectly designed for comfortable family living. A bright and inviting sunroom, perfect for enjoying your morning coffee or relaxing with a good book, brings the outdoors in Toni Peay KELLER WILLIAMS PREFERRED",(984) 305-2364,36.0542154,-78.837087,Nominatim
Durham,"$480,000",N/A,N/A,N/A,"104 E Murray Ave, Durham, NC 27704",0.25,"Nestled at 104 East Murray Avenue, an extraordinary building opportunity awaits in a cherished Durham neighborhood. This 0.25-acre lot, is a mere stone's throw from the enchanting and exciting Museum of Life and Science, the winding Ellerbee Creek trails, and the inviting expanse of Northgate Park. Samantha Greaves Compass -- Chapel Hill - Durham",(984) 464-4173,36.028469599999994,-78.89279922226972,Nominatim
Durham,"$133,333",N/A,N/A,N/A,"220 Husketh Dr, Durham, NC 27703",0.45,.44 Acres located close to DT Durham off of HWY 98. Land does not perk but could be used for a variety of other purposes. Seller prefers to sell with 224 Husketh Dr (MLS#2536072) as a package. Keegan Reynolds Next Stage Realty,(984) 369-8288,35.9798471,-78.7930631,Nominatim
Durham,"$133,333",N/A,N/A,N/A,"224 Husketh Dr, Durham, NC 27703",0.45,.45 Acres located close to DT Durham off of HWY 98. Land does not perk but could be used for a variety of other purposes. Seller prefers to sell with 220 Husketh Dr (MLS#2536073) as a package. Keegan Reynolds Next Stage Realty,(984) 369-9166,35.9800351,-78.7928073,Nominatim
Durham,"$336,900",N/A,N/A,N/A,"716 Virgil Rd, Durham, NC 27703",2,"The rendering is for illustration purposes only. This is a ''TO BE BUILT ON YOUR LOT'' HOME, requires the buyer to obtain a construction loan. The price listed includes the vacant lot list price. Estimated price for lot finishing allowance and cost to build the proposed plan is $336,900 for a total Sheryl Merritt New Legacy Realty",(855) 620-4502,35.9535868,-78.7620458,Nominatim
Durham,"$375,000",4,2,"1,402","2703 Broad St, Durham, NC 27704",N/A,"Get ready to fall in love with this freshly painted brick ranch, just one mile from Duke Hospital and less than 10 minutes to Duke University! This bright and stylish home offers the perfect balance of comfort and convenience, with easy access to Downtown Durham, parks, restaurants, and Susana Yourcheck Flex Realty",(984) 230-9239,36.0357268,-78.9096154,Nominatim
Durham,"$500,000",3,2.5,"2,310","121 Radcliff Cir, Durham, NC 27713",0.28,"Stunning Ranch with BASEMENT located in sought after Parkwood subdivision! Features a bright open floor plan and upgrades galore including new shaker cabinets, granite and stainless appliances. Beautiful tile shower. New interior and exterior paint with plush carpet. Deck overlooking a flat back Stephanie Anson Northside Realty Inc.",(855) 758-7697,35.8883803,-78.9048608,Nominatim
Durham,"$340,000",Welcome,2.5,"1,544","2832 Tulip Poplar Cir, Durham, NC 27704",N/A,"Welcome home to this charming 3-bedroom, 2.5-bath home in a desirable Panther Creek with it's inviting curb appeal, featuring stone accents and mature trees.Inside, the open-concept layout features a seamless flow of freshly painted neutral tones and stunning new flooring. The dining area, Koren Bowman Keller Williams Preferred Realty",(984) 646-5792,36.0385962,-78.8122123,Nominatim
Durham,"$449,800",4,2,"2,007","703 Torredge Rd, Durham, NC 27712",1.02,"Charming Ranch on a 1 acre lot with a huge yard and updates galore! Sunny, bright kitchen open to living areas with granite countertops, tile backsplash and stainless steel appliances. Refinished hardwood flooring; PLUSH carpet and designer inspired interior paint. Primary retreat w/ dual vanity, Stephanie Anson Northside Realty Inc.",(844) 348-2862,36.1037909,-78.8927785,Nominatim
Durham,"$460,000",Only,2.5,"1,249","100 Masondale Ave, Durham, NC 27707",N/A,"Only One Opportunity Left! Mountain top living in the heart of Durham? That's what you'll think when you arrive at this newly constructed homebuilt by one of Durham's premier builders. From your covered second-story balcony located off the primary bedroom, you look upon the American Tobacco Trail Keegan Reynolds Next Stage Realty",(984) 306-5687,35.9752145,-78.9083472,Nominatim
Durham,"$449,999",Beautiful,2.5,"2,230","3 Summer Ridge Ct, Durham, NC 27712",N/A,Beautiful Cul-da-Sac 3 Bedroom Home with Bonus for Possible 4th. Located in Northern Durham. Spacious Master Bedroom Closet. Dual Vanity with Walk-in Shower! Open Kitchen and Dining Space. Extra Bedrooms with Extra Space. 2 car Garage. Nice relaxing deck for summer BBQ or morning Coffee. 9ft,Thomas Andrews Drew Eddison Realty LLC,36.0884551,-78.9314163,Google
Durham,"$410,000",**Charming,2,"1,967","608 Bellmeade Bay Dr, Durham, NC 27703",N/A,"**Charming 3-Bedroom Ranch with Bonus Room Near Brier Creek**Welcome to this beautifully maintained and updated 3-bedroom, 2-bathroom ranch, just minutes from Brier Creek in Durham. This home offers nearly 2,000 sq ft of comfortable living space, including a bonus room on the second floor,",Eric Morton Morton Bradbury Real Estate Group,35.9734836,-78.8200062,Nominatim
Durham,"$520,000",3,2.5,"2,327","5402 Whisperwood Dr, Durham, NC 27713",0.73,"Price Reduced This is a beautiful home located in a cul-de-sac in South Durham. Screened back deck, two car garage. Formal dining room and living room, Family room with gas fireplace. First floor master and a bonus room on the second floor. Crawl space has just been cleaned and new insulation and",Sam Jordan L&S Properties of N.C. LLC,35.8836305,-78.9038556,Nominatim
Durham,"$535,000",3,2.5,"2,610","4608 Paces Ferry Dr, Durham, NC 27712",N/A,"Beautiful two story in popular Ashfield Place. Seller has meticulously maintained this home and its ready for you to move in. Home features great outdoor spaces with covered front porch, large deck with pergola overhead and a private backyard. Kitchen features granite tops, all stainless",Mike Ellis Ellis Realty,36.0925765,-78.9309498,Nominatim
